# pos	HFD_med	HFD_mean	HFD_stderr_mean	HFD_stderr_med	FWHM_mean	FWHM_med	FWHM_std
9.937160065342419330e+03	4.730072254180908153e+00	4.452202617645263594e+00	1.992569506864680373e-01	2.497315532537278671e-01	6.620640995025635078e+00	6.854180955886841176e+00	8.696266877651215310e-01
1.016162827450129953e+04	2.083661411285400611e+00	2.060431539535522383e+00	5.398625644809639662e-02	6.766173842713929520e-02	2.319349883079528940e+00	2.314815100669861181e+00	7.432233500480651955e-02
1.020247804426080074e+04	2.110806777000427292e+00	2.061702780723571937e+00	5.567097532617626410e-02	6.977322041443909106e-02	2.368816075325012260e+00	2.352629026412964119e+00	6.616485685110091997e-02
9.488159863553479227e+03	5.693100227355957443e+00	5.643214065551758196e+00	4.881691976765530350e-01	6.118293568499889590e-01	1.098441979980468730e+01	1.030519436645507803e+01	3.864862524032592894e+00
9.529002546260600866e+03	4.237055545806884815e+00	4.275782960891723938e+00	3.861945300748486631e-01	4.840230642967238706e-01	6.942508775711059954e+00	7.359886077880859467e+00	1.874733888626098688e+00
1.014124591193570086e+04	2.365559422492981234e+00	2.437919066429138137e+00	6.717020323947711646e-02	8.418536532639207814e-02	2.803295026779174748e+00	2.818835233688354425e+00	1.059308633208274897e-01
9.692266971303799437e+03	4.748709125518798757e+00	6.283633422851562678e+00	7.841587158484020215e-01	9.827972044719703870e-01	1.141912162399292008e+01	8.661903701782227571e+00	4.240680171966553225e+00
1.007999251845350045e+04	2.535198459625244372e+00	2.599997318267822433e+00	7.279151156590245308e-02	9.123063052211029256e-02	3.103465713500976886e+00	3.059349577903747619e+00	1.758859593272209254e-01
9.855531396346990732e+03	5.525673696517944933e+00	4.823485927581787180e+00	4.579390657780913476e-01	5.739415051687346558e-01	8.691982410430908246e+00	9.284761665344237969e+00	2.949722635269165227e+00
1.032491396070160044e+04	3.073204795837402692e+00	3.087495982170105346e+00	9.680475221302449473e-02	1.213267645079075530e-01	4.102166212081909791e+00	3.984163654327392834e+00	3.296117749214172443e-01
1.038614609302660028e+04	3.643380800247192575e+00	3.614153363227844640e+00	1.616801227638881566e-01	2.026359835828866196e-01	5.241937374114990611e+00	5.128647808074951797e+00	1.007475529193878172e+00
1.034529632326719911e+04	3.358705212593078748e+00	2.894838835716247782e+00	2.840404487431181790e-01	3.559919099791887254e-01	4.004916816711426186e+00	4.541182834625244524e+00	1.516320090293884260e+00
1.028409253915149930e+04	2.581656869888306005e+00	2.523633297920227392e+00	8.397896150834423257e-02	1.052520196954820492e-01	3.098615842819214095e+00	3.046894258499145636e+00	2.138346669673919787e-01
1.042693916636729955e+04	4.363618371963501552e+00	4.394150825500488189e+00	1.396378784179687638e-01	1.750101271259832114e-01	6.472641944885253906e+00	6.345432498931884879e+00	7.736360900402069474e-01
9.835099424414900568e+03	4.451641769409180327e+00	4.377464035034179801e+00	3.663393732751212828e-01	4.591383155810095928e-01	8.127319339752197891e+00	8.906276210784913161e+00	2.814493326187133881e+00
9.508591835485569391e+03	5.365227548599243335e+00	5.198655622482299954e+00	4.479954286415290809e-01	5.614790041691457567e-01	9.885790100097656463e+00	1.068173951721191450e+01	3.765361291885376271e+00
1.001878164728549928e+04	3.724513141632080249e+00	3.535182642936706809e+00	1.264955438629059292e-01	1.585386534307929307e-01	4.731074403762817404e+00	4.812099197387695426e+00	2.787128531932830944e-01
1.040652845559230082e+04	4.161101495742798306e+00	4.183202560424804872e+00	1.242384298245112206e-01	1.557097804969395649e-01	6.246341459274292518e+00	5.942632362365722898e+00	5.823384006023407666e-01
1.010042449038559971e+04	2.389778778076172117e+00	2.481288811683655116e+00	6.662488772764753320e-02	8.350191368611861731e-02	2.905117201805115013e+00	2.856554721832275767e+00	1.397206363081932023e-01
1.005959598178320084e+04	2.652872818946838684e+00	2.705103921890259056e+00	8.299244187408469364e-02	1.040156006911252401e-01	3.364972980499267852e+00	3.277335777282714968e+00	3.345094199180603245e-01
9.875942107122020388e+03	4.417564239501952983e+00	4.070774265289307081e+00	4.836252722746824939e-01	6.061343909049176082e-01	7.379938846588134815e+00	8.918947292327882082e+00	3.282419408798217919e+00
9.896324469687649980e+03	5.231843439102172866e+00	5.024293149948120707e+00	2.629217570622762179e-01	3.295235551339822377e-01	8.239186786651611527e+00	8.274424232482910924e+00	1.485909072399139497e+00
9.651431375649030088e+03	5.280176380157470817e+00	5.040307989120483612e+00	7.125571507162669072e-01	8.930579506379489052e-01	1.067589105224609369e+01	1.065604982376098775e+01	5.755273498535156129e+00
9.814709974796929600e+03	5.727788824081421204e+00	5.172753944396973225e+00	5.983556655248005729e-01	7.499276147450574248e-01	9.742641365051269986e+00	1.087250613403320365e+01	3.352708980560302976e+00
9.733060044644449590e+03	3.550264438629150643e+00	4.804937494277954357e+00	5.775848289869788266e-01	7.238952316683360255e-01	8.976272026062012799e+00	7.037406785964965827e+00	4.923841764450073377e+00
9.467437322474939720e+03	5.729653133392334396e+00	5.863956287384033850e+00	4.749561917110894926e-01	5.952693096770393932e-01	1.084832833099365246e+01	1.159467334365844771e+01	3.963215839385986428e+00
9.916749354567380578e+03	4.502573188781738622e+00	4.131286323547363359e+00	3.258142719368129492e-01	4.083476331575644491e-01	6.881662519454956772e+00	7.304448318481445490e+00	1.513850380420684871e+00
1.012082811410830072e+04	2.449364236831665043e+00	2.459853476524353155e+00	6.255200785117978612e-02	7.839731575735378599e-02	2.847793801307678230e+00	2.869071147918701215e+00	9.559071698784828153e-02
