# INDEX mount\_offsets\_ra\_arcsec\_total mount\_offsets\_dec\_arcsec\_total rotator\_field\_angle mount\_dec\_j2000\_deg mount\_ra\_j2000\_hours
 8600 0 0 -205.21310796202 46.811050481391 19.317073395154
 8600.1 0 0 -205.21310796202 46.811050481391 19.317073395154
 8600.2 0 0 -205.21244617904 46.811055176463 19.317073372457
 8600.3 0 0 -205.21244617904 46.811055176463 19.317073372457
 8600.4 0 0 -205.21331548066 46.811048499573 19.317073447312
 8600.5 0 0 -205.21331548066 46.811048499573 19.317073447312
 8600.6 0 0 -205.21331548066 46.811048499573 19.317073447312
 8600.7 0 0 -205.2133617129 46.811044659666 19.317073379576
 8600.8 0 0 -205.2133617129 46.811044659666 19.317073379576
 8600.9 0 0 -205.21273194921 46.811047506757 19.317073549282
 8601 0 0 -205.213126401 46.811034957234 19.317073154422
 8601.1 0 0 -205.213126401 46.811034957234 19.317073154422
 8601.2 0 0 -205.213126401 46.811034957234 19.317073154422
 8601.3 0 0 -205.21332140258 46.811045201406 19.317073973218
 8601.4 0 0 -205.21332140258 46.811045201406 19.317073973218
 8601.5 0 0 -205.21332140258 46.811045201406 19.317073973218
 8601.6 0 0 -205.21308670041 46.811055033426 19.317073565547
 8601.7 0 0 -205.21308670041 46.811055033426 19.317073565547
 8601.8 0 0 -205.21308670041 46.811055033426 19.317073565547
 8601.9 0 0 -205.21308670041 46.811047447654 19.317073945652
 8602 0 0 -205.21289970745 46.811027328852 19.317073718978
 8602.1 0 0 -205.21289970745 46.811027328852 19.317073718978
 8602.2 0 0 -205.21289970745 46.811027328852 19.317073718978
 8602.3 0 0 -205.21308820673 46.811041383922 19.317073266807
 8602.4 0 0 -205.21308820673 46.811046435764 19.317073360202
 8602.5 0 0 -205.21308820673 46.811046435764 19.317073360202
 8602.6 0 0 -205.21304335498 46.811052437298 19.317073491271
 8602.7 0 0 -205.21304335498 46.811052437298 19.317073491271
 8602.8 0 0 -205.21327011794 46.811048710084 19.317073500931
 8602.9 0 0 -205.21327011794 46.811048710084 19.317073500931
 8603 0 0 -205.21327011794 46.811048710084 19.317073500931
 8603.1 0 0 -205.21331109115 46.811071132381 19.317073440397
 8603.2 0 0 -205.21313586042 46.811037140818 19.31707342239
 8603.3 0 0 -205.21313586042 46.811037140818 19.31707342239
 8603.4 0 0 -205.21313586042 46.811046624101 19.317073916034
 8603.5 0 0 -205.21313586042 46.811046624101 19.317073916034
 8603.6 0 0 -205.21321368533 46.811047821804 19.317073232386
 8603.7 0 0 -205.21321368533 46.811047821804 19.317073232386
 8603.8 0 0 -205.21321368533 46.811047821804 19.317073232386
 8603.9 0 0 -205.21308380027 46.811056730084 19.317073358293
 8604 0 0 -205.21331094164 46.811049260927 19.317073937274
 8604.1 0 0 -205.21331094164 46.811049260927 19.317073937274
 8604.2 0 0 -205.21331094164 46.811049260927 19.317073937274
 8604.3 0 0 -205.21313735996 46.81103662163 19.317073201245
 8604.4 0 0 -205.21279525072 46.811045847795 19.317073143905
 8604.5 0 0 -205.21279525072 46.811045847795 19.317073143905
 8604.6 0 0 -205.21279525072 46.811068091759 19.317073907213
 8604.7 0 0 -205.21279525072 46.811068091759 19.317073907213
 8604.8 0 0 -205.21277534409 46.811043078205 19.317073831472
 8604.9 0 0 -205.21277534409 46.811043078205 19.317073831472
 8605 0 0 -205.21277534409 46.811043078205 19.317073831472
 8605.1 0 0 -205.21286420359 46.811039819958 19.317073145594
 8605.2 0 0 -205.21286420359 46.811039819958 19.317073145594
 8605.3 0 0 -205.2132169953 46.811052715603 19.317073111809
 8605.4 0 0 -205.21333967011 46.81103160635 19.317073432455
 8605.5 0 0 -205.21333967011 46.81103160635 19.317073432455
 8605.6 0 0 -205.21333967011 46.811045346936 19.317074307009
 8605.7 0 0 -205.21333967011 46.811045346936 19.317074307009
 8605.8 0 0 -205.21304154835 46.811062889703 19.317073676155
 8605.9 0 0 -205.21304154835 46.811062889703 19.317073676155
 8606 0 0 -205.21322340475 46.811063218918 19.317073148514
 8606.1 0 0 -205.21322340475 46.811063218918 19.317073148514
 8606.2 0 0 -205.21322340475 46.811063218918 19.317073148514
 8606.3 0 0 -205.21322133655 46.811029105369 19.317073096628
 8606.4 0 0 -205.21322133655 46.811029105369 19.317073096628
 8606.5 0 0 -205.21326166566 46.81104285542 19.317073240358
 8606.6 0 0 -205.21326166566 46.811055401672 19.317073783153
 8606.7 0 0 -205.21305472136 46.811055493371 19.317073797743
 8606.8 0 0 -205.21305472136 46.811055493371 19.317073797743
 8606.9 0 0 -205.21332965568 46.811064678449 19.317073425467
 8607 0 0 -205.21332965568 46.811034489501 19.317073258676
 8607.1 0 0 -205.21332965568 46.811064790413 19.317073798678
 8607.2 0 0 -205.21295861795 46.811034027906 19.31707348146
 8607.3 0 0 -205.21286256661 46.811051219868 19.317073483411
 8607.4 0 0 -205.21286256661 46.811051219868 19.317073483411
 8607.5 0 0 -205.21293405132 46.811072643487 19.317073590772
 8607.6 0 0 -205.21293405132 46.811072643487 19.317073590772
 8607.7 0 0 -205.21293405132 46.811060512644 19.317073680158
 8607.8 0 0 -205.21293405132 46.811060512644 19.317073680158
 8607.9 0 0 -205.21301264496 46.811046967017 19.317073500324
 8608 0 0 -205.21301264496 46.811046967017 19.317073500324
 8608.1 0 0 -205.21301264496 46.811060644359 19.317073919281
 8608.2 0 0 -205.21307935264 46.811038996003 19.317073456723
 8608.3 0 0 -205.21307935264 46.811038996003 19.317073456723
 8608.4 0 0 -205.21300734847 46.811046507969 19.317074496373
 8608.5 0 0 -205.21300734847 46.811046507969 19.317074496373
 8608.6 0 0 -205.21309634732 46.811047439467 19.317073205387
 8608.7 0 0 -205.21314161763 46.811042961729 19.317073228768
 8608.8 0 0 -205.21314161763 46.811042961729 19.317073228768
 8608.9 0 0 -205.21314161763 46.811035231578 19.317073233253
 8609 0 0 -205.21314161763 46.811035231578 19.317073233253
 8609.1 0 0 -205.21316834686 46.811035178504 19.317073212819
 8609.2 0 0 -205.21305458447 46.811051824612 19.31707348543
 8609.3 0 0 -205.21305458447 46.811051824612 19.31707348543
 8609.4 0 0 -205.21305458447 46.811051824612 19.31707348543
 8609.5 0 0 -205.21319341672 46.811052118829 19.317073439245
 8609.6 0 0 -205.21319341672 46.811052118829 19.317073439245
 8609.7 0 0 -205.21272952655 46.811047378855 19.317073328102
 8609.8 0 0 -205.2129446174 46.811047205158 19.317073307897
 8609.9 0 0 -205.2129446174 46.811047205158 19.317073307897
 8610 0 0 -205.2130324922 46.811034791424 19.317073202851
 8610.1 0 0 -205.2130324922 46.811034791424 19.317073202851
 8610.2 0 0 -205.2130324922 46.811051231042 19.317073219064
 8610.3 0 0 -205.21275890204 46.811024996577 19.317073425301
 8610.4 0 0 -205.21275890204 46.811032835853 19.317073341794
 8610.5 0 0 -205.21275890204 46.811032835853 19.317073341794
 8610.6 0 0 -205.21294218417 46.811031998736 19.317074219077
 8610.7 0 0 -205.21294218417 46.811031998736 19.317074219077
 8610.8 0 0 -205.2131289562 46.811053228904 19.317073775213
 8610.9 0 0 -205.2131289562 46.811053228904 19.317073775213
 8611 0 60 -205.21297744782 46.811045191253 19.317073535467
 8611.1 0 60 -205.21297744782 46.811045191253 19.317073535467
 8611.2 0 60 -205.21345614645 46.817163484471 19.317075348117
 8611.3 0 60 -205.21345614645 46.817163484471 19.317075348117
 8611.4 0 60 -205.22111166758 46.819932203006 19.317071575536
 8611.5 0 60 -205.22111166758 46.819932203006 19.317071575536
 8611.6 0 60 -205.22471746359 46.822478964873 19.317074728195
 8611.7 0 60 -205.22471746359 46.822478964873 19.317074728195
 8611.8 0 60 -205.22743527595 46.824824339491 19.317077688025
 8611.9 0 60 -205.22743527595 46.824824339491 19.317077688025
 8612 0 60 -205.22937076187 46.825327662989 19.317077194459
 8612.1 0 60 -205.22937076187 46.825327662989 19.317077194459
 8612.2 0 60 -205.23008075677 46.826537835823 19.317078004501
 8612.3 0 60 -205.23008075677 46.826537835823 19.317078004501
 8612.4 0 60 -205.2308847657 46.827010682961 19.317077668824
 8612.5 0 60 -205.2308847657 46.827010682961 19.317077668824
