ID,RA,Dec,EBV,Gal Long,Gal Lat,Ecl Long,Ecl Lat,Entry,SFR,Ngal
6708,49.88764,42.0,1.0,150.25951,-12.87949,58.70866,22.82173,6707,59.22446613986847,72
8935,20.53691,34.0,1.0,130.16794,-28.4399,32.22226,23.41549,8934,27.854004853127414,20
6975,49.15129,41.0,1.0,150.34635,-14.01834,57.83358,22.01556,6974,26.53734016013069,36
13705,357.86982,20.0,1.0,104.23794,-40.68515,6.31947,19.13058,13704,25.852275500797457,7
13534,175.73964,20.0,1.0,233.73693,72.78767,167.94909,16.61885,13533,25.03838911697623,29
21430,307.85515,-2.0,1.0,43.04131,-23.06336,309.72768,16.37202,21429,24.921456799518396,7
9233,20.33223,33.0,1.0,130.12786,-29.45375,31.6128,22.57018,9232,24.80792232543252,28
27988,202.5,-21.0,1.0,314.88312,40.97515,208.60208,-10.7583,27987,24.409954660667704,21
6698,36.40449,42.0,1.0,141.07088,-17.53055,48.28279,26.00885,6697,24.0583370187179,13
30236,158.99054,-28.0,1.0,269.73775,26.00186,172.83203,-33.8214,30235,23.57850592266852,46
8356,28.45361,36.0,1.0,136.83737,-25.18176,39.55634,22.70516,8355,21.397856775529327,39
19337,10.02786,3.0,1.0,117.31241,-59.74811,10.39293,-1.21211,19336,21.35651131964702,11
8069,28.85017,37.0,1.0,136.8822,-24.13297,40.2897,23.50942,8068,21.024551306839673,26
17885,349.88764,8.0,1.0,87.32033,-48.41519,353.8996,11.35393,17884,20.88572420504639,18
8355,27.21649,36.0,1.0,135.76669,-25.43637,38.55214,23.08736,8354,20.680703940523575,15
13150,125.35714,21.0,1.0,202.67672,28.77302,122.71745,1.48591,13149,20.20363107477797,40
10927,195.33123,28.0,1.0,55.19538,87.64184,181.8468,31.57058,10926,20.1912758172463,76
20785,21.0585,-1.0,1.0,141.05264,-62.71222,19.07747,-9.14513,20784,20.15798280780409,30
9218,2.39203,33.0,1.0,112.89393,-29.05433,16.53532,29.06593,9217,19.152201923206253,9
6703,43.14607,42.0,1.0,145.81145,-15.42677,53.49252,24.31731,6702,18.230660755931005,42
10811,63.59621,28.0,1.0,168.39616,-16.45471,66.71906,6.67054,10810,18.122647637968168,4
21551,69.1922,-3.0,1.0,199.02058,-31.10246,67.00325,-24.79431,21550,18.114711962653697,10
4763,107.53247,50.0,1.0,167.17124,23.32274,102.59551,27.32401,4762,17.725576375453837,14
4494,41.41593,51.0,1.0,140.61303,-7.90813,55.67565,33.1924,4493,17.606448153796524,2
22212,12.06704,-5.0,1.0,120.83695,-67.85885,9.12097,-9.3707,22211,17.601916823898698,3
6200,69.76744,44.0,1.0,160.01578,-1.87901,74.48156,21.64598,6199,17.137888533167242,2
13782,79.41176,19.0,1.0,184.92773,-10.74214,79.9746,-4.07149,13781,16.678656151837576,4
12705,5.40541,22.0,1.0,113.85142,-40.34545,13.94195,17.99786,12704,16.586150345450868,19
18281,29.16201,6.0,1.0,150.78622,-53.30823,29.24381,-5.55917,18280,16.499449821276503,22
9230,16.74419,33.0,1.0,126.68464,-29.7585,28.62708,23.80474,9229,16.432923303582193,20
29917,158.625,-27.0,1.0,268.81668,26.65274,171.95128,-33.06982,29916,16.2826948902405,24
8604,335.25773,36.0,1.0,91.74119,-17.60342,354.02632,42.37805,8603,16.09422224058601,9
17263,80.11268,9.0,1.0,193.94725,-15.57824,79.93502,-14.0948,17262,15.84001886592803,2
9316,119.60133,33.0,1.0,187.92837,27.60391,115.07323,12.10057,9315,15.665835578049595,16
6976,50.4797,41.0,1.0,151.20777,-13.46611,58.87185,21.73823,6975,15.580777530961825,37
20218,173.48189,1.0,1.0,264.26393,57.93028,173.62159,-1.6694,20217,15.405458033503962,11
13978,286.94118,19.0,1.0,51.69792,5.08059,291.46698,41.18533,13977,15.177129772732245,3
13529,170.4142,20.0,1.0,227.25892,68.26639,163.2102,14.56811,13528,15.133074350722161,8
19867,181.50418,2.0,1.0,277.60264,62.6166,180.58519,2.43298,19866,15.020156294080076,24
17893,357.97753,8.0,1.0,98.51644,-52.02728,1.34753,8.14069,17892,14.968064702808189,7
30314,247.57098,-28.0,1.0,350.86702,13.87992,250.19177,-6.08931,30313,14.708370949538487,2
