ID,RA,Dec,EBV,Gal Long,Gal Lat,Ecl Long,Ecl Lat,Entry,SFR,Ngal
15956,186.17143,13.0,1.0,277.72418,74.54727,180.39284,14.36104,15955,8.637196071362986,23
15608,187.73639,14.0,1.0,281.90223,76.02812,181.4075,15.89583,15607,7.835622316806705,10
17724,187.07865,8.0,1.0,285.88971,70.10291,183.29721,10.14927,17723,7.029622314987512,18
16309,188.18182,12.0,1.0,285.84468,74.24774,182.66283,14.24709,16308,5.543564957202334,17
30568,177.70701,-29.0,1.0,287.28854,32.02394,190.42196,-27.30212,30567,5.437183435143024,5
27291,180.0,-19.0,1.0,286.4245,42.21702,187.7993,-17.37798,27290,5.156105819197916,6
27173,55.05882,-19.0,1.0,210.25969,-50.52009,47.04844,-37.37658,27172,4.972211746901386,7
9199,339.46309,34.0,1.0,93.63557,-21.16294,356.72486,38.96054,9198,4.932104456655406,2
15940,169.71429,13.0,1.0,241.4766,64.15204,165.43725,7.88416,15939,4.774345671270841,16
16312,191.25,12.0,1.0,296.91855,74.79653,185.50068,15.46419,16311,4.697523683046524,11
18818,209.16201,5.0,1.0,340.89367,62.96075,205.27106,15.84464,18817,4.6082749328605495,11
23819,192.67606,-9.0,1.0,302.62466,53.87131,195.15909,-3.28525,23818,4.539083198483915,1
14208,169.47368,18.0,1.0,230.98208,66.60715,163.2016,12.37955,14207,4.520315845671853,12
18080,186.55462,7.0,1.0,285.22431,69.00023,183.22068,9.025,18079,4.394157687500111,8
4139,180.0,53.0,1.0,139.74591,62.4168,152.17713,47.11275,4138,4.222658360947778,10
19480,153.42618,3.0,1.0,238.6211,45.26076,154.2589,-7.45075,19479,4.1229560363250215,5
14224,186.31579,18.0,1.0,268.1107,79.05848,178.36948,18.9719,14223,4.07725574637913,9
14912,186.24277,16.0,1.0,272.70262,77.2908,179.17746,17.12419,14911,4.063333458990733,11
28518,54.38066,-23.0,1.0,216.07298,-52.32962,44.73655,-41.00916,28517,4.036552560459319,5
26971,202.10526,-18.0,1.0,315.19424,43.98942,207.11752,-8.11399,26970,4.036481551391245,3
11562,189.47368,26.0,1.0,232.60232,86.76845,177.50547,27.45187,11561,4.025335007572867,3
15957,187.2,13.0,1.0,281.27,74.91147,181.33804,14.77009,15956,3.914865139411839,20
17725,188.08989,8.0,1.0,288.76187,70.34509,184.22973,10.5506,17724,3.891870606380953,13
30903,203.7299,-30.0,1.0,314.02751,31.9332,213.18973,-18.66795,30902,3.8295253793236332,2
4357,179.18552,52.0,1.0,141.69016,63.09035,152.4304,46.01032,4356,3.7330736592852864,2
4556,140.17699,51.0,1.0,166.96438,43.94032,125.45472,33.55124,4555,3.598001183954499,5
16310,189.20455,12.0,1.0,289.44938,74.48778,183.6068,14.65325,16309,3.5511238283490427,15
8204,198.18815,37.0,1.0,99.72824,79.14966,179.19551,40.63708,8203,3.4166963486828434,13
18279,27.15084,6.0,1.0,147.68401,-54.10157,27.36382,-4.85476,18278,3.376889393713518,2
6946,10.62731,41.0,1.0,121.11717,-21.84028,27.65531,33.13425,6945,3.236261890888947,2
3541,229.25373,56.0,1.0,91.00975,51.13557,189.17012,68.29654,3540,3.230231915049709,3
27832,35.35714,-21.0,1.0,201.17383,-68.59936,24.88193,-32.93822,27831,3.123690952838549,5
16662,188.66856,11.0,1.0,288.39192,73.39673,183.52944,13.52631,16661,2.953255250824183,14
9352,162.65781,33.0,1.0,192.85322,63.30827,150.88068,23.59244,9351,2.9522909061744667,16
29926,168.75,-27.0,1.0,277.77283,31.11772,181.38445,-29.05376,29925,2.8280729636401665,3
18156,263.19328,7.0,1.0,30.24577,20.662,262.16642,30.25361,18155,2.8161052583007278,1
25097,55.54286,-13.0,1.0,202.09901,-47.73535,49.59898,-31.73587,25096,2.796506400882474,1
11565,192.81734,26.0,1.0,301.00909,88.87112,180.56102,28.7814,11564,2.74043901672607,5
15582,160.91691,14.0,1.0,230.25686,57.46937,157.10655,5.49536,15581,2.7221081567879404,8
22939,23.19328,-7.0,1.0,150.79589,-67.60753,18.77741,-15.5054,22938,2.6772662303224766,3
20801,37.10306,-1.0,1.0,168.66548,-55.01805,34.42363,-14.83035,20800,2.6271915154718535,7
12843,154.59459,22.0,1.0,212.78759,54.95603,148.46747,10.68756,12842,2.618843880676499,8
15065,345.43353,16.0,1.0,88.01877,-39.32153,353.12353,20.43169,15064,2.5809106181784296,2
27847,51.42857,-21.0,1.0,211.56474,-54.39359,42.16746,-38.25602,27846,2.5638123471460457,5
5527,185.14286,47.0,1.0,137.89131,69.22157,160.93304,44.04935,5526,2.548297626235314,8
3944,211.56398,54.0,1.0,100.91519,59.81334,175.49104,59.83739,3943,2.5124351729483574,22
25420,27.851,-14.0,1.0,172.73622,-70.81673,20.43688,-23.72247,25419,2.465177703542829,3
19542,215.59889,3.0,1.0,348.88432,57.51701,212.25737,16.21388,19541,2.4461402297721384,7
30775,55.5627,-30.0,1.0,227.69675,-52.59858,42.98794,-47.97869,30774,2.4438595121871205,1
4582,181.59292,51.0,1.0,139.61662,64.64342,155.02452,46.04913,4581,2.4372881131421424,9
5539,202.77551,47.0,1.0,104.11031,68.65229,175.57515,50.89359,5538,2.3878762061862426,2
29138,12.14724,-25.0,1.0,106.04222,-87.77768,0.44278,-27.6226,29137,2.363876743903221,1
29176,54.11043,-25.0,1.0,219.17978,-53.04754,43.58154,-42.83209,29175,2.344241952470677,4
19497,170.47354,3.0,1.0,257.48732,57.74215,170.06979,-1.01556,19496,2.3322300790093764,5
7515,40.0,39.0,1.0,144.9778,-19.17978,49.97069,22.25392,7514,2.3123488856254912,5
9982,187.01299,31.0,1.0,174.39029,83.59056,172.71088,30.93901,9981,2.3085706687121,2
6706,47.19101,42.0,1.0,148.51721,-13.94883,56.62102,23.3956,6705,2.307275890067171,2
14917,191.44509,16.0,1.0,295.91865,78.79463,183.96914,19.19195,14916,2.3050247608476977,4
20595,191.0,0.0,1.0,298.85942,62.81292,190.11188,4.35247,20594,2.253613713091073,5
15591,170.20057,14.0,1.0,240.23782,65.12267,165.47589,8.98956,15590,2.2453030043391684,6
