Galaxy,RA,Dec,ukirt_ref,vista_ref,ref_exists
MESSIER 086,186.54892853949002,12.94622165862,True,False,True
MESSIER 084,186.26559708333,12.88698305556,True,False,True
NGC 4388,186.44477978314998,12.66208592574,True,False,True
NGC 4387,186.4236677881,12.810514951400002,True,False,True
NGC 4402,186.53189,13.11332,True,False,True
NGC 4407,186.63436738358,12.61098561783,True,False,True
VCC 0871,186.5235,12.55963888889,True,False,True
VCC 0916,186.6383682793,12.7429745001,True,False,True
VCC 0928,186.665875,12.513527777777776,True,False,True
VCC 0846,186.4604856232,13.1976435044,True,False,True
VCC 0815,186.4050526269,13.143719841900001,True,False,True
VCC 0765,186.2645063144,13.2446960471,True,False,True
VCC 0753,186.215125,13.11116666667,True,False,True
VCC 0872,186.52786914990003,12.860984878800002,True,False,True
MESSIER 087 DW27,186.3897268002,13.227215355699999,True,False,True
VCC 0684,185.9904502834,12.8871214219,True,False,True
VCC 0854,186.48207070709998,12.769721096400001,True,False,True
VCC 0833,186.43599825709998,13.022103841400002,True,False,True
SDSS J122603.87+130643.7,186.51612,13.11214,True,False,True
VPC 0430,186.42204166667,13.04755555556,True,False,True
VCC 0802,186.37104166666663,13.498111111111115,True,False,True
[C2006a] N dSph,186.67541666667,13.37583333333,True,False,True
SDSS J122620.08+123428.8,186.5837016932,12.5746830244,True,False,True
MESSIER 088,187.99650291667,14.42038694444,True,False,True
NGC 4477,187.50915916667,13.63660388889,True,False,True
NGC 4459,187.25003708333,13.97837277778,True,False,True
NGC 4474,187.473113019,14.0685887942,True,False,True
IC 3476,188.17452,14.05044,True,False,True
NGC 4479,187.57655311349998,13.577642833499999,True,False,True
NGC 4468,187.37874288560002,14.0490885697,True,False,True
VCC 1307,187.68591666667,13.79944444444,True,False,True
VCC 1400,187.974395575,14.306504585899999,True,False,True
VCC 1285,187.5849927105,14.1401628501,True,False,True
MESSIER 049,187.44484125,8.00047583333,True,False,True
NGC 4434,186.9028472045,8.154344226900001,True,False,True
NGC 4470,187.40741666667,7.82419444444,True,False,True
NGC 4464,187.3387155564,8.156623113,True,False,True
UGC 07580,186.9784668191,8.090403074600001,True,False,True
NGC 4467,187.37603292720001,7.9928667428999995,True,False,True
VCC 1167,187.3110532559,7.8775270075999995,True,False,True
VCC 1199,187.3958041482,8.0580063234,True,False,True
VCC 0888,186.5774857502,8.3497471229,True,False,True
NGC 4472 DW09,186.827869944,8.2128829674,True,False,True
VCC 0974,186.7912968066,8.3899518729,True,False,True
NGC 4471,187.40438118950001,7.9327524326,True,False,True
UGC 07636,187.50405585272998,7.92935229797,True,False,True
VCCA 034,186.69978576900002,7.6715389605999995,True,False,True
SDSS J122646.31+075451.8,186.693,7.91439,True,False,True
SDSS J122934.47+075851.6,187.3936373075,7.981029349500001,True,False,True
AGESVC1 234,186.79708333333,7.64083333333,True,False,True
AGESVC1 281,187.47666666667,7.96805555556,True,False,True
MESSIER 087,187.70593041667,12.39112305556,True,False,True
SDSS J123047.55+122318.0,187.69755,12.38905,True,False,True
NGC 4497,187.8855270336,11.624717786600002,True,False,True
NGC 4486A,187.7404583428,12.2703558867,True,False,True
IC 3461,188.0113990287,11.8900730706,True,False,True
IC 3509,188.54805982419998,12.0489640828,True,False,True
IC 3466,188.02366666667,11.817916666670001,True,False,True
VCC 1426,188.097892963,11.8932711834,True,False,True
MESSIER 087 DW08,187.9666870556,12.481806174,True,False,True
IC 3465,188.05101354099997,12.0615460094,True,False,True
VCC 1313,187.70217452183,12.04501627536,True,False,True
VCC 1565,188.62681434990003,11.7343786473,True,False,True
VPC 0766,187.69329166667,12.09908333333,True,False,True
IC 3459,187.98298,12.17404,True,False,True
VCC 1369,187.8889738345,12.063780377899999,True,False,True
VCC 1396,187.98492,11.97266,True,False,True
SDSS J123329.47+121017.4,188.3727928137,12.171517090899998,True,False,True
NGC 3923,177.75705916667,-28.80601694444,False,True,True
NGC 3904,177.30508333333,-29.27675,False,True,True
2MFGC 09308,177.90670833333,-28.79141666667,False,True,True
2MASX J11521217-2912554,178.05075,-29.21541666667,False,True,True
2MASX J11503040-2852202,177.62666666667,-28.87227777778,False,True,True
NGC 4038,180.470875,-18.86761111111,False,True,True
NGC 4039,180.47295833333,-18.88619444444,False,True,True
NGC 4027,179.87570833333,-19.26522222222,False,True,True
NGC 4027A,179.87245833333,-19.332,False,True,True
ESO 572- G 034,179.74298911517,-19.02811024587,False,True,True
ESO 572- G 045,180.28941666667,-19.07969444444,False,True,True
NGC 1407,55.04941666667,-18.58011111111,False,True,True
ESO 548- G 064,55.0001899699,-19.42639881577,False,True,True
2MASX J03401592-1904544,55.066351664639996,-19.081664387420002,False,True,True
2MASX J03404323-1838431,55.180125,-18.64530555556,False,True,True
ESO 548- G 065,55.01125,-19.36661111111,False,True,True
APMBGC 548-110-078,55.21894512765,-18.47736536967,False,True,True
ESO 548- G 073,55.268375,-19.09444444444,False,True,True
NGC 7331,339.26672416667,34.41551888889,True,False,True
NGC 7320,339.01408333333,33.94811111111,True,False,True
MESSIER 065,169.73298208333,13.092365,True,False,True
MESSIER 066,170.06235083333,12.99153777778,True,False,True
SDSS J111854.40+130621.7,169.72671,13.10606,True,False,True
SDSS J112018.84+125923.5,170.0785,12.98989,True,False,True
SDSS J111854.49+130727.5,169.72704,13.12431,True,False,True
SDSS J111857.86+130500.2,169.74113,13.08342,True,False,True
IC 2684,169.254375,13.099638888889999,True,False,True
IC 2709,169.6756804671,12.56168650322,True,False,True
SDSS J112014.80+125903.0,170.06171,12.98419,True,False,True
2MASS J11201410+1300120,170.05879,13.00336,True,False,True
AGC 215396,169.72333333333,12.89722222222,True,False,True
AGC 215402,169.85708333333,13.23666666667,True,False,True
AGC 215403,169.87541666667,12.56583333333,True,False,True
AGC 215410,169.99416666667,13.2925,True,False,True
AGC 215405,169.8875,12.51666666667,True,False,True
AGC 215398,169.77166666667,12.75777777778,True,False,True
MESSIER 060,190.91656405330002,11.5527062492,True,False,True
NGC 4647,190.88461444306,11.581870256370001,True,False,True
SDSS J124445.22+122108.4,191.18843083333,12.35236,True,False,True
IC 3718,191.19158333333002,12.35144444444,True,False,True
NGC 4641,190.78191666666999,12.05119444444,True,False,True
VCC 1951,190.7592560145,11.698047822100001,True,False,True
LSBVCC 329,191.4377126359,12.2357124392,True,False,True
SDSS J124446.52+120400.8,191.19385,12.0669,True,False,True
SDSS J124342.26+113329.5,190.9255,11.55758,True,False,True
AGC 225876,191.24708333333,12.02444444444,True,False,True
AGC7920,191.1896,12.368929747582069,True,False,True
NGC 5364,209.05,5.01447222222,True,False,True
NGC 5363,209.0300375,5.25477222222,True,False,True
NGC 5356,208.74358333333,5.33372222222,True,False,True
NGC 5360,208.91145833333,4.98505555556,True,False,True
2MASS J13553755+0459005,208.90658,4.98336,True,False,True
UGC 08857,209.1109003427,4.3966676544,True,False,True
CGCG 046-013,209.2315782843,5.1518814024,True,False,True
SDSS J135502.70+050525.1,208.7612654112,5.0903426843,True,False,True
SDSS J135621.31+051944.2,209.0888150566,5.3289624052999995,True,False,True
SDSS J135504.50+051122.1,208.76879166667,5.18952777778,True,False,True
AGC232141,208.7642,5.179548617026551,True,False,True
NGC 4699,192.2593,-8.66485833333,False,True,True
NGC 3607,169.2276646778,18.051756236400003,True,False,True
NGC 3608,169.2456316355,18.1486837843,True,False,True
NGC 3605,169.1941354682,18.0171608705,True,False,True
UGC 06296,169.2127370764,17.7985620521,True,False,True
LSBC F570-06,169.4091831301,17.8180726481,True,False,True
MCG +03-29-018,169.1469644207,18.1183545267,True,False,True
IC 2703,169.5213637725,17.6495175178,True,False,True
LSBC D570-04,169.58916666667,17.697500000000005,True,False,True
MCG +03-29-030,169.8014490021,18.0593362074,True,False,True
SDSS J111938.29+175209.5,169.90940898658002,17.86906093129,True,False,True
2MASX J11160602+1812409,169.0249776936,18.211449142,True,False,True
SDSS J111756.49+173726.8,169.4854337877,17.62412184,True,False,True
NGC 4365,186.11785208333,7.31767277778,True,False,True
IC 3322,186.47541666667,7.55477777778,True,False,True
IC 3322A,186.42733333333,7.21666666667,True,False,True
UGC 07557,186.79612093823002,7.26313614811,True,False,True
NGC 4366,186.19586437669997,7.353036464400001,True,False,True
VCC 0750,186.2065224203,6.7595463381,True,False,True
VCC 0711,186.05779985759997,7.1750744417,True,False,True
VCC 0855,186.48379610880002,7.234730459700001,True,False,True
