Galaxy,RA,Dec,ukirt_ref,vista_ref,ref_exists
UGC 09913,233.73791666666662,23.502777777777776,True,False,True
CGCG 448-020,314.3470833333333,17.12611111111111,True,False,True
NGC 3690/IC 694,172.13583333333332,58.56111111111111,True,False,True
NGC 6240,253.24416666666664,2.4008333333333334,True,False,True
UGC 08387,200.14541666666665,34.14,True,False,True
VV 340a,224.25124999999994,24.616944444444446,True,False,True
CGCG 436-030,20.00583333333333,14.359722222222222,True,False,True
III Zw 035,26.124999999999996,17.101111111111113,True,False,True
IRAS F06076-2139,92.43791666666667,-21.672777777777778,False,True,True
MCG+07-23-019,165.97583333333333,40.849444444444444,True,False,True
IC 2810,171.4470833333333,14.673055555555555,True,False,True
IC 1623A/B,16.942916666666665,-17.50888888888889,False,True,True
NGC 5331,208.06916666666663,2.102222222222222,True,True,True
IRAS 18090+0130,272.90541666666667,1.5277777777777777,True,False,True
NGC 0695,27.80833333333333,22.581944444444446,True,False,True
IRAS F16164-0746,244.79291666666666,-7.899166666666666,False,True,True
NGC 2623,129.60032,25.75463777778,True,False,True
NGC 6670A/B,278.3983333333333,59.888888888888886,True,False,True
MCG+05-06-036,35.83999999999999,32.195277777777775,True,False,True
UGC 02369,43.50791666666666,14.971388888888889,True,False,True
IRAS F16399-0937,250.6633333333333,-9.719722222222222,False,True,True
NGC 1614,68.50041666666665,-8.579444444444444,False,True,True
NGC 5257/8,204.97875,0.8352777777777778,True,True,True
ESO 507-G070,195.71374999999998,-23.919444444444444,False,True,True
NGC 5010,198.1058333333333,-15.795833333333333,False,True,True
IRAS 20351+2521,309.3275,25.528333333333332,True,False,True
IRAS 23436+5257,356.5241666666666,53.233333333333334,True,False,True
IRAS F03359+1523,54.703333333333326,15.54888888888889,True,False,True
