title =		Palomar Observatory
version =	ah03
UTC_offset =	-7.0
lp_rating_mags_per_square_arcsec = 20.25 to 20.91
lp_rating_RGB_color = 191,191,0
blocks = 
#	Local Time	cloud2	trans2	seeing2	wind2	hum2	temp2
2020-07-21 08:00:00,	10,	5,	4,	5,	7,	13,	,
2020-07-21 09:00:00,	10,	5,	4,	5,	5,	14,	,
2020-07-21 10:00:00,	10,	5,	3,	5,	3,	14,	,
2020-07-21 11:00:00,	10,	5,	3,	5,	3,	14,	,
2020-07-21 12:00:00,	10,	5,	3,	5,	3,	15,	,
2020-07-21 13:00:00,	10,	5,	3,	5,	3,	15,	,
2020-07-21 14:00:00,	10,	5,	3,	5,	2,	15,	,
2020-07-21 15:00:00,	10,	5,	3,	5,	2,	15,	,
2020-07-21 16:00:00,	10,	5,	2,	5,	3,	15,	,
2020-07-21 17:00:00,	10,	5,	2,	5,	3,	14,	,
2020-07-21 18:00:00,	10,	5,	2,	5,	4,	14,	,
2020-07-21 19:00:00,	8,	5,	3,	5,	5,	14,	,
2020-07-21 20:00:00,	10,	5,	3,	5,	7,	13,	,
2020-07-21 21:00:00,	10,	5,	3,	5,	9,	12,	,
2020-07-21 22:00:00,	10,	5,	3,	5,	11,	12,	,
2020-07-21 23:00:00,	10,	5,	3,	4,	11,	12,	,
2020-07-22 00:00:00,	10,	4,	3,	5,	10,	12,	,
2020-07-22 01:00:00,	10,	5,	4,	5,	10,	12,	,
2020-07-22 02:00:00,	10,	5,	4,	5,	10,	12,	,
2020-07-22 03:00:00,	10,	4,	4,	5,	10,	12,	,
2020-07-22 04:00:00,	10,	5,	4,	5,	10,	12,	,
2020-07-22 05:00:00,	10,	5,	4,	5,	9,	12,	,
2020-07-22 06:00:00,	10,	4,	4,	5,	8,	12,	,
2020-07-22 07:00:00,	10,	4,	5,	5,	7,	12,	,
2020-07-22 08:00:00,	10,	5,	5,	5,	6,	12,	,
2020-07-22 09:00:00,	10,	5,	5,	5,	5,	13,	,
2020-07-22 10:00:00,	10,	5,	3,	5,	3,	14,	,
2020-07-22 11:00:00,	10,	5,	3,	5,	2,	14,	,
2020-07-22 12:00:00,	10,	5,	3,	5,	3,	14,	,
2020-07-22 13:00:00,	10,	5,	2,	5,	3,	14,	,
2020-07-22 14:00:00,	10,	5,	2,	5,	3,	14,	,
2020-07-22 15:00:00,	10,	5,	2,	5,	3,	14,	,
2020-07-22 16:00:00,	10,	5,	2,	5,	3,	14,	,
2020-07-22 17:00:00,	10,	5,	2,	5,	4,	14,	,
2020-07-22 18:00:00,	10,	5,	2,	5,	4,	13,	,
2020-07-22 19:00:00,	10,	5,	2,	5,	5,	13,	,
2020-07-22 20:00:00,	10,	5,	2,	5,	7,	12,	,
2020-07-22 21:00:00,	10,	5,	2,	5,	9,	12,	,
2020-07-22 22:00:00,	10,	5,	3,	5,	11,	12,	,
2020-07-22 23:00:00,	10,	5,	3,	5,	12,	11,	,
2020-07-23 00:00:00,	10,	5,	3,	5,	11,	11,	,
2020-07-23 01:00:00,	10,	5,	3,	5,	9,	11,	,
2020-07-23 02:00:00,	10,	5,	3,	5,	7,	11,	,
2020-07-23 03:00:00,	10,	5,	3,	5,	5,	11,	,
2020-07-23 04:00:00,	10,	5,	3,	5,	5,	11,	,
2020-07-23 05:00:00,	10,	5,	3,	5,	4,	11,	,

#For meaning of the numeric forecast values, see https://www.cleardarksky.com/t/*_forecast_scale.txt, where * is cloud2,trans2,seeing2,wind2,hum2 or temp2.
#sky darkness
#    Local time	limiting_magnitude	sun_altitude	moon_altitude
darkness_blocks = 
2020-07-21 08:00:00,	-3.0,	24.4,	13.2,
2020-07-21 08:15:00,	-3.2,	27.5,	16.1,
2020-07-21 08:30:00,	-3.3,	30.7,	19.1,
2020-07-21 08:45:00,	-3.4,	33.8,	22.0,
2020-07-21 09:00:00,	-3.6,	36.9,	25.0,
2020-07-21 09:15:00,	-3.7,	40.0,	28.0,
2020-07-21 09:30:00,	-3.8,	43.2,	31.0,
2020-07-21 09:45:00,	-3.9,	46.3,	34.0,
2020-07-21 10:00:00,	-4.0,	49.4,	37.0,
2020-07-21 10:15:00,	-4.1,	52.5,	40.1,
2020-07-21 10:30:00,	-4.2,	55.6,	43.1,
2020-07-21 10:45:00,	-4.3,	58.6,	46.1,
2020-07-21 11:00:00,	-4.4,	61.5,	49.2,
2020-07-21 11:15:00,	-4.5,	64.5,	52.2,
2020-07-21 11:30:00,	-4.6,	67.2,	55.1,
2020-07-21 11:45:00,	-4.8,	69.9,	58.1,
2020-07-21 12:00:00,	-4.9,	72.3,	61.0,
2020-07-21 12:15:00,	-5.0,	74.3,	63.8,
2020-07-21 12:30:00,	-5.1,	75.9,	66.5,
2020-07-21 12:45:00,	-5.1,	76.8,	69.1,
2020-07-21 13:00:00,	-5.1,	76.8,	71.4,
2020-07-21 13:15:00,	-5.1,	76.1,	73.5,
2020-07-21 13:30:00,	-5.0,	74.6,	75.1,
2020-07-21 13:45:00,	-4.9,	72.6,	76.1,
2020-07-21 14:00:00,	-4.8,	70.3,	76.4,
2020-07-21 14:15:00,	-4.7,	67.7,	75.9,
2020-07-21 14:30:00,	-4.5,	65.0,	74.8,
2020-07-21 14:45:00,	-4.4,	62.1,	73.0,
2020-07-21 15:00:00,	-4.3,	59.1,	70.9,
2020-07-21 15:15:00,	-4.2,	56.1,	68.5,
2020-07-21 15:30:00,	-4.1,	53.0,	65.8,
2020-07-21 15:45:00,	-4.0,	49.9,	63.1,
2020-07-21 16:00:00,	-3.9,	46.8,	60.2,
2020-07-21 16:15:00,	-3.8,	43.7,	57.3,
2020-07-21 16:30:00,	-3.7,	40.6,	54.4,
2020-07-21 16:45:00,	-3.6,	37.4,	51.4,
2020-07-21 17:00:00,	-3.5,	34.3,	48.3,
2020-07-21 17:15:00,	-3.3,	31.2,	45.3,
2020-07-21 17:30:00,	-3.2,	28.1,	42.2,
2020-07-21 17:45:00,	-3.1,	25.0,	39.2,
2020-07-21 18:00:00,	-2.9,	21.9,	36.1,
2020-07-21 18:15:00,	-2.7,	18.8,	33.0,
2020-07-21 18:30:00,	-2.4,	15.7,	30.0,
2020-07-21 18:45:00,	-2.1,	12.7,	26.9,
2020-07-21 19:00:00,	-1.6,	9.7,	23.9,
2020-07-21 19:15:00,	-0.8,	6.8,	20.9,
2020-07-21 19:30:00,	0.7,	3.8,	17.9,
2020-07-21 19:45:00,	3.5,	0.9,	14.9,
2020-07-21 20:00:00,	4.7,	-1.9,	11.9,
2020-07-21 20:15:00,	4.7,	-4.7,	9.0,
2020-07-21 20:30:00,	4.7,	-7.4,	6.1,
2020-07-21 20:45:00,	4.7,	-10.1,	3.2,
2020-07-21 21:00:00,	4.7,	-12.7,	0.4,
2020-07-21 21:15:00,	5.9,	-15.2,	-2.4,
2020-07-21 21:30:00,	6.3,	-17.7,	-5.2,
2020-07-21 21:45:00,	6.3,	-20.1,	-7.9,
2020-07-21 22:00:00,	6.3,	-22.3,	-10.5,
2020-07-21 22:15:00,	6.3,	-24.4,	-13.1,
2020-07-21 22:30:00,	6.3,	-26.4,	-15.7,
