temperature, focus
-15.0,11191.0
-14.9,11192.82
-14.8,11194.64
-14.7,11196.46
-14.6,11198.28
-14.5,11200.1
-14.4,11201.92
-14.3,11203.74
-14.2,11205.56
-14.1,11207.38
-14.0,11209.2
-13.9,11211.02
-13.8,11212.84
-13.7,11214.66
-13.6,11216.48
-13.5,11218.3
-13.4,11220.12
-13.3,11221.94
-13.2,11223.76
-13.1,11225.58
-13.0,11227.4
-12.9,11229.22
-12.8,11231.04
-12.7,11232.86
-12.6,11234.68
-12.5,11236.5
-12.4,11238.32
-12.3,11240.14
-12.2,11241.96
-12.1,11243.78
-12.0,11245.6
-11.9,11247.42
-11.8,11249.24
-11.7,11251.06
-11.6,11252.88
-11.5,11254.7
-11.4,11256.52
-11.3,11258.34
-11.2,11260.16
-11.1,11261.98
-11.0,11263.8
-10.9,11265.62
-10.8,11267.44
-10.7,11269.26
-10.6,11271.08
-10.5,11272.9
-10.4,11274.72
-10.3,11276.54
-10.2,11278.36
-10.1,11280.18
-10.0,11282.0
-9.9,11283.82
-9.8,11285.64
-9.7,11287.46
-9.6,11289.28
-9.5,11291.1
-9.4,11292.92
-9.3,11294.74
-9.2,11296.56
-9.1,11298.38
-9.0,11300.2
-8.9,11302.02
-8.8,11303.84
-8.7,11305.66
-8.6,11307.48
-8.5,11309.3
-8.4,11311.12
-8.3,11312.94
-8.2,11314.76
-8.1,11316.58
-8.0,11318.4
-7.9,11320.22
-7.8,11322.04
-7.7,11323.86
-7.6,11325.68
-7.5,11327.5
-7.4,11329.32
-7.3,11331.14
-7.2,11332.96
-7.1,11334.78
-7.0,11336.6
-6.9,11338.42
-6.8,11340.24
-6.7,11342.06
-6.6,11343.88
-6.5,11345.7
-6.4,11347.52
-6.3,11349.34
-6.2,11351.16
-6.1,11352.98
-6.0,11354.8
-5.9,11356.62
-5.8,11358.44
-5.7,11360.26
-5.6,11362.08
-5.5,11363.9
-5.4,11365.72
-5.3,11367.54
-5.2,11369.36
-5.1,11371.18
-5.0,11373.0
-4.9,11374.82
-4.8,11376.64
-4.7,11378.46
-4.6,11380.28
-4.5,11382.1
-4.4,11383.92
-4.3,11385.74
-4.2,11387.56
-4.1,11389.38
-4.0,11391.2
-3.9,11393.02
-3.8,11394.84
-3.7,11396.66
-3.6,11398.48
-3.5,11400.3
-3.4,11402.12
-3.3,11403.94
-3.2,11405.76
-3.1,11407.58
-3.0,11409.4
-2.9,11411.22
-2.8,11413.04
-2.7,11414.86
-2.6,11416.68
-2.5,11418.5
-2.4,11420.32
-2.3,11422.14
-2.2,11423.96
-2.1,11425.78
-2.0,11427.6
-1.9,11429.42
-1.8,11431.24
-1.7,11433.06
-1.6,11434.88
-1.5,11436.7
-1.4,11438.52
-1.3,11440.34
-1.2,11442.16
-1.1,11443.98
-1.0,11445.8
-0.9,11447.62
-0.8,11449.44
-0.7,11451.26
-0.6,11453.08
-0.5,11454.9
-0.4,11456.72
-0.3,11458.54
-0.2,11460.36
