title =		Palomar Observatory
version =	ah03
UTC_offset =	-8.0
lp_rating_mags_per_square_arcsec = 20.25 to 20.91
lp_rating_RGB_color = 191,191,0
blocks = 
#	Local Time	cloud2	trans2	seeing2	wind2	hum2	temp2
2020-02-10 08:00:00,	10,	0,	2,	4,	10,	10,	,
2020-02-10 09:00:00,	6,	0,	2,	4,	9,	10,	,
2020-02-10 10:00:00,	2,	0,	2,	4,	8,	10,	,
2020-02-10 11:00:00,	7,	0,	2,	4,	8,	10,	,
2020-02-10 12:00:00,	5,	0,	1,	4,	7,	10,	,
2020-02-10 13:00:00,	10,	3,	1,	4,	6,	10,	,
2020-02-10 14:00:00,	10,	4,	1,	4,	6,	11,	,
2020-02-10 15:00:00,	10,	3,	2,	4,	6,	11,	,
2020-02-10 16:00:00,	10,	4,	2,	4,	5,	11,	,
2020-02-10 17:00:00,	10,	4,	2,	4,	5,	10,	,
2020-02-10 18:00:00,	9,	4,	2,	4,	5,	10,	,
2020-02-10 19:00:00,	7,	2,	2,	4,	5,	10,	,
2020-02-10 20:00:00,	10,	4,	2,	4,	4,	10,	,
2020-02-10 21:00:00,	10,	5,	2,	4,	3,	10,	,
2020-02-10 22:00:00,	10,	5,	2,	4,	2,	10,	,
2020-02-10 23:00:00,	10,	5,	2,	4,	2,	10,	,
2020-02-11 00:00:00,	10,	5,	2,	4,	2,	10,	,
2020-02-11 01:00:00,	10,	5,	2,	4,	2,	10,	,
2020-02-11 02:00:00,	10,	5,	2,	5,	2,	10,	,
2020-02-11 03:00:00,	10,	5,	2,	5,	2,	9,	,
2020-02-11 04:00:00,	10,	5,	2,	4,	2,	9,	,
2020-02-11 05:00:00,	10,	5,	2,	4,	1,	9,	,
2020-02-11 06:00:00,	10,	5,	1,	4,	0,	9,	,
2020-02-11 07:00:00,	10,	5,	1,	4,	0,	9,	,
2020-02-11 08:00:00,	10,	5,	1,	4,	0,	10,	,
2020-02-11 09:00:00,	10,	5,	1,	4,	0,	10,	,
2020-02-11 10:00:00,	10,	5,	1,	4,	0,	10,	,
2020-02-11 11:00:00,	10,	5,	1,	4,	0,	10,	,
2020-02-11 12:00:00,	10,	5,	1,	4,	0,	11,	,
2020-02-11 13:00:00,	10,	5,	1,	5,	0,	11,	,
2020-02-11 14:00:00,	10,	5,	1,	5,	0,	11,	,
2020-02-11 15:00:00,	10,	5,	2,	5,	1,	11,	,
2020-02-11 16:00:00,	10,	5,	2,	5,	1,	11,	,
2020-02-11 17:00:00,	10,	5,	2,	5,	4,	10,	,
2020-02-11 18:00:00,	10,	5,	3,	5,	4,	10,	,
2020-02-11 19:00:00,	10,	5,	3,	5,	4,	9,	,
2020-02-11 20:00:00,	10,	5,	3,	5,	3,	9,	,
2020-02-11 21:00:00,	10,	5,	3,	5,	2,	9,	,
2020-02-11 22:00:00,	10,	5,	3,	5,	2,	9,	,
2020-02-11 23:00:00,	10,	5,	3,	5,	2,	9,	,
2020-02-12 00:00:00,	10,	5,	3,	5,	3,	9,	,
2020-02-12 01:00:00,	10,	5,	3,	5,	4,	9,	,
2020-02-12 02:00:00,	10,	5,	3,	5,	4,	9,	,
2020-02-12 03:00:00,	10,	5,	4,	5,	3,	9,	,
2020-02-12 04:00:00,	10,	5,	4,	5,	3,	9,	,

#For meaning of the numeric forecast values, see https://www.cleardarksky.com/t/*_forecast_scale.txt, where * is cloud2,trans2,seeing2,wind2,hum2 or temp2.
#sky darkness
#    Local time	limiting_magnitude	sun_altitude	moon_altitude
darkness_blocks = 
2020-02-10 08:00:00,	-2.4,	15.2,	-2.6,
2020-02-10 08:15:00,	-2.6,	18.0,	-5.5,
2020-02-10 08:30:00,	-2.8,	20.6,	-8.4,
2020-02-10 08:45:00,	-2.9,	23.1,	-11.2,
2020-02-10 09:00:00,	-3.0,	25.6,	-14.0,
2020-02-10 09:15:00,	-3.1,	27.9,	-16.8,
2020-02-10 09:30:00,	-3.2,	30.1,	-19.5,
2020-02-10 09:45:00,	-3.2,	32.2,	-22.1,
2020-02-10 10:00:00,	-3.3,	34.2,	-24.7,
2020-02-10 10:15:00,	-3.4,	35.9,	-27.2,
2020-02-10 10:30:00,	-3.4,	37.5,	-29.6,
2020-02-10 10:45:00,	-3.5,	38.9,	-31.9,
2020-02-10 11:00:00,	-3.5,	40.1,	-34.1,
2020-02-10 11:15:00,	-3.5,	41.0,	-36.2,
2020-02-10 11:30:00,	-3.6,	41.7,	-38.1,
2020-02-10 11:45:00,	-3.6,	42.1,	-39.9,
2020-02-10 12:00:00,	-3.6,	42.3,	-41.5,
2020-02-10 12:15:00,	-3.6,	42.2,	-42.9,
2020-02-10 12:30:00,	-3.6,	41.8,	-44.2,
2020-02-10 12:45:00,	-3.5,	41.2,	-45.1,
2020-02-10 13:00:00,	-3.5,	40.3,	-45.9,
2020-02-10 13:15:00,	-3.5,	39.2,	-46.4,
2020-02-10 13:30:00,	-3.4,	37.9,	-46.6,
2020-02-10 13:45:00,	-3.4,	36.3,	-46.6,
2020-02-10 14:00:00,	-3.3,	34.6,	-46.3,
2020-02-10 14:15:00,	-3.3,	32.7,	-45.7,
2020-02-10 14:30:00,	-3.2,	30.6,	-44.9,
2020-02-10 14:45:00,	-3.1,	28.4,	-43.9,
2020-02-10 15:00:00,	-3.0,	26.2,	-42.6,
2020-02-10 15:15:00,	-2.9,	23.7,	-41.2,
2020-02-10 15:30:00,	-2.8,	21.2,	-39.5,
2020-02-10 15:45:00,	-2.6,	18.6,	-37.7,
2020-02-10 16:00:00,	-2.5,	15.9,	-35.7,
2020-02-10 16:15:00,	-2.2,	13.2,	-33.6,
2020-02-10 16:30:00,	-1.9,	10.3,	-31.4,
2020-02-10 16:45:00,	-1.3,	7.5,	-29.1,
2020-02-10 17:00:00,	-0.3,	4.6,	-26.6,
2020-02-10 17:15:00,	2.1,	1.6,	-24.1,
2020-02-10 17:30:00,	3.9,	-1.4,	-21.6,
2020-02-10 17:45:00,	3.9,	-4.4,	-18.9,
2020-02-10 18:00:00,	3.9,	-7.4,	-16.2,
2020-02-10 18:15:00,	3.9,	-10.5,	-13.5,
2020-02-10 18:30:00,	5.4,	-13.6,	-10.6,
2020-02-10 18:45:00,	6.3,	-16.7,	-7.8,
2020-02-10 19:00:00,	6.4,	-19.8,	-4.9,
2020-02-10 19:15:00,	6.4,	-23.0,	-2.0,
2020-02-10 19:30:00,	6.4,	-26.1,	0.9,
2020-02-10 19:45:00,	6.2,	-29.2,	3.9,
2020-02-10 20:00:00,	5.8,	-32.3,	6.8,
2020-02-10 20:15:00,	5.5,	-35.5,	9.8,
2020-02-10 20:30:00,	5.3,	-38.6,	12.8,
2020-02-10 20:45:00,	5.1,	-41.7,	15.8,
2020-02-10 21:00:00,	5.0,	-44.7,	18.8,
2020-02-10 21:15:00,	4.9,	-47.7,	21.8,
2020-02-10 21:30:00,	4.8,	-50.7,	24.8,
2020-02-10 21:45:00,	4.7,	-53.6,	27.8,
2020-02-10 22:00:00,	4.6,	-56.4,	30.8,
2020-02-10 22:15:00,	4.5,	-59.1,	33.7,
2020-02-10 22:30:00,	4.5,	-61.7,	36.6,
2020-02-10 22:45:00,	4.4,	-64.1,	39.5,
2020-02-10 23:00:00,	4.3,	-66.3,	42.3,
2020-02-10 23:15:00,	4.0,	-68.1,	45.1,
2020-02-10 23:30:00,	4.0,	-69.5,	47.8,
2020-02-10 23:45:00,	4.0,	-70.5,	50.4,
2020-02-11 00:00:00,	4.0,	-70.8,	52.9,
2020-02-11 00:15:00,	4.0,	-70.6,	55.2,
2020-02-11 00:30:00,	4.0,	-69.7,	57.4,
2020-02-11 00:45:00,	4.0,	-68.4,	59.3,
2020-02-11 01:00:00,	4.0,	-66.7,	61.0,
2020-02-11 01:15:00,	4.0,	-64.6,	62.4,
2020-02-11 01:30:00,	4.0,	-62.2,	63.4,
2020-02-11 01:45:00,	4.0,	-59.7,	63.9,
2020-02-11 02:00:00,	4.0,	-57.0,	64.1,
2020-02-11 02:15:00,	4.0,	-54.2,	63.8,
2020-02-11 02:30:00,	4.0,	-51.3,	63.1,
2020-02-11 02:45:00,	4.0,	-48.3,	62.0,
2020-02-11 03:00:00,	4.0,	-45.3,	60.5,
2020-02-11 03:15:00,	4.0,	-42.3,	58.8,
2020-02-11 03:30:00,	4.0,	-39.2,	56.7,
2020-02-11 03:45:00,	4.0,	-36.1,	54.5,
2020-02-11 04:00:00,	4.0,	-33.0,	52.1,
2020-02-11 04:15:00,	4.0,	-29.8,	49.6,
2020-02-11 04:30:00,	4.0,	-26.7,	46.9,
2020-02-11 04:45:00,	4.3,	-23.5,	44.2,
2020-02-11 05:00:00,	4.4,	-20.4,	41.4,
2020-02-11 05:15:00,	4.4,	-17.3,	38.5,
2020-02-11 05:30:00,	4.4,	-14.2,	35.6,
2020-02-11 05:45:00,	4.0,	-11.1,	32.6,
2020-02-11 06:00:00,	3.9,	-8.0,	29.6,
2020-02-11 06:15:00,	3.9,	-5.0,	26.6,
2020-02-11 06:30:00,	3.9,	-1.9,	23.6,
2020-02-11 06:45:00,	2.8,	1.1,	20.5,
2020-02-11 07:00:00,	0.0,	4.0,	17.4,
2020-02-11 07:15:00,	-1.2,	7.0,	14.4,
2020-02-11 07:30:00,	-1.8,	9.9,	11.3,
2020-02-11 07:45:00,	-2.2,	12.7,	8.3,
2020-02-11 08:00:00,	-2.4,	15.5,	5.2,
2020-02-11 08:15:00,	-2.6,	18.2,	2.2,
2020-02-11 08:30:00,	-2.8,	20.8,	-0.9,
2020-02-11 08:45:00,	-2.9,	23.4,	-3.9,
2020-02-11 09:00:00,	-3.0,	25.8,	-6.9,
2020-02-11 09:15:00,	-3.1,	28.2,	-9.9,
2020-02-11 09:30:00,	-3.2,	30.4,	-12.8,
2020-02-11 09:45:00,	-3.3,	32.5,	-15.7,
2020-02-11 10:00:00,	-3.3,	34.4,	-18.6,
2020-02-11 10:15:00,	-3.4,	36.2,	-21.4,
2020-02-11 10:30:00,	-3.4,	37.8,	-24.2,
2020-02-11 10:45:00,	-3.5,	39.2,	-27.0,
2020-02-11 11:00:00,	-3.5,	40.4,	-29.6,
2020-02-11 11:15:00,	-3.5,	41.3,	-32.2,
2020-02-11 11:30:00,	-3.6,	42.0,	-34.7,
2020-02-11 11:45:00,	-3.6,	42.5,	-37.2,
2020-02-11 12:00:00,	-3.6,	42.6,	-39.5,
2020-02-11 12:15:00,	-3.6,	42.5,	-41.7,
2020-02-11 12:30:00,	-3.6,	42.2,	-43.7,
2020-02-11 12:45:00,	-3.6,	41.5,	-45.6,
2020-02-11 13:00:00,	-3.5,	40.7,	-47.3,
2020-02-11 13:15:00,	-3.5,	39.5,	-48.7,
2020-02-11 13:30:00,	-3.4,	38.2,	-50.0,
2020-02-11 13:45:00,	-3.4,	36.6,	-51.0,
2020-02-11 14:00:00,	-3.3,	34.9,	-51.7,
2020-02-11 14:15:00,	-3.3,	33.0,	-52.1,
2020-02-11 14:30:00,	-3.2,	30.9,	-52.3,
2020-02-11 14:45:00,	-3.1,	28.7,	-52.1,
2020-02-11 15:00:00,	-3.0,	26.4,	-51.7,
2020-02-11 15:15:00,	-2.9,	24.0,	-50.9,
2020-02-11 15:30:00,	-2.8,	21.4,	-49.9,
2020-02-11 15:45:00,	-2.7,	18.8,	-48.6,
2020-02-11 16:00:00,	-2.5,	16.1,	-47.1,
2020-02-11 16:15:00,	-2.2,	13.4,	-45.4,
2020-02-11 16:30:00,	-1.9,	10.5,	-43.5,
2020-02-11 16:45:00,	-1.3,	7.7,	-41.5,
2020-02-11 17:00:00,	-0.4,	4.8,	-39.3,
2020-02-11 17:15:00,	1.9,	1.8,	-37.0,
2020-02-11 17:30:00,	3.9,	-1.2,	-34.6,
2020-02-11 17:45:00,	3.9,	-4.2,	-32.1,
2020-02-11 18:00:00,	3.9,	-7.3,	-29.5,
2020-02-11 18:15:00,	3.9,	-10.3,	-26.8,
2020-02-11 18:30:00,	5.3,	-13.4,	-24.1,
2020-02-11 18:45:00,	6.2,	-16.6,	-21.3,
2020-02-11 19:00:00,	6.4,	-19.6,	-18.5,
2020-02-11 19:15:00,	6.4,	-22.8,	-15.7,
2020-02-11 19:30:00,	6.4,	-25.9,	-12.8,
2020-02-11 19:45:00,	6.4,	-29.1,	-9.9,
2020-02-11 20:00:00,	6.4,	-32.2,	-6.9,
2020-02-11 20:15:00,	6.4,	-35.3,	-4.0,
2020-02-11 20:30:00,	6.4,	-38.4,	-1.0,
2020-02-11 20:45:00,	6.3,	-41.5,	2.0,
2020-02-11 21:00:00,	6.1,	-44.5,	5.0,
2020-02-11 21:15:00,	5.9,	-47.5,	8.0,
2020-02-11 21:30:00,	5.6,	-50.5,	11.0,
2020-02-11 21:45:00,	5.5,	-53.4,	14.0,
2020-02-11 22:00:00,	5.3,	-56.2,	16.9,
2020-02-11 22:15:00,	5.2,	-58.9,	19.9,
2020-02-11 22:30:00,	5.1,	-61.5,	22.8,
2020-02-11 22:45:00,	5.0,	-63.9,	25.8,
2020-02-11 23:00:00,	4.9,	-66.0,	28.6,
2020-02-11 23:15:00,	4.9,	-67.8,	31.5,
2020-02-11 23:30:00,	4.8,	-69.2,	34.3,
2020-02-11 23:45:00,	4.7,	-70.1,	37.0,
2020-02-12 00:00:00,	4.7,	-70.5,	39.7,
2020-02-12 00:15:00,	4.6,	-70.2,	42.3,
2020-02-12 00:30:00,	4.5,	-69.4,	44.8,
2020-02-12 00:45:00,	4.5,	-68.1,	47.1,
2020-02-12 01:00:00,	4.4,	-66.4,	49.3,
2020-02-12 01:15:00,	4.4,	-64.3,	51.4,
2020-02-12 01:30:00,	4.3,	-62.0,	53.2,
2020-02-12 01:45:00,	4.3,	-59.4,	54.8,
2020-02-12 02:00:00,	4.3,	-56.8,	56.1,
2020-02-12 02:15:00,	4.0,	-54.0,	57.1,
2020-02-12 02:30:00,	4.0,	-51.1,	57.8,
2020-02-12 02:45:00,	4.0,	-48.1,	58.1,
2020-02-12 03:00:00,	4.0,	-45.1,	58.0,
2020-02-12 03:15:00,	4.0,	-42.1,	57.6,
2020-02-12 03:30:00,	4.3,	-39.0,	56.8,
2020-02-12 03:45:00,	4.3,	-35.9,	55.7,
2020-02-12 04:00:00,	4.3,	-32.8,	54.3,
2020-02-12 04:15:00,	4.4,	-29.7,	52.6,
2020-02-12 04:30:00,	4.4,	-26.5,	50.7,
2020-02-12 04:45:00,	4.5,	-23.4,	48.6,

#Gen'd by d800 at 2020-02-10 16:00:33 UTC
