# WINTER Observation Log for the night of 2020-02-11
# Created: 2020-02-10 16:29:51 UTC / 2020-02-10 08:29:51 Palomar Time
Time,	obsHistID,	requestID,	propID,	fieldID,	fieldRA,	fieldDec,	filter,	
1581370191,	1,	117,	1,	469,	2.7583377361297607,	0.07941248267889023,	g,	
1581370191,	2,	150,	1,	522,	2.878912925720215,	0.2050761878490448,	g,	
1581370191,	3,	118,	1,	470,	2.87774920463562,	0.07941248267889023,	g,	
1581370191,	4,	119,	1,	471,	2.9971609115600586,	0.07941248267889023,	g,	
1581370191,	5,	151,	1,	523,	3.005887508392334,	0.2050761878490448,	g,	
1581370191,	6,	185,	1,	574,	3.0241482257843018,	0.3307398855686188,	g,	
1581370191,	7,	152,	1,	524,	3.132862091064453,	0.2050761878490448,	g,	
1581370191,	8,	672,	3,	624,	3.15952467918396,	0.45640361309051514,	g,	
1581370191,	9,	252,	1,	671,	3.149796962738037,	0.5820673108100891,	g,	
1581370191,	10,	473,	2,	717,	3.5057871341705322,	0.7077310085296631,	g,	
1581370191,	11,	484,	2,	757,	3.573117256164551,	0.8333947062492371,	g,	
1581370191,	12,	483,	2,	756,	3.4025168418884277,	0.8333947062492371,	g,	
1581370191,	13,	702,	3,	757,	3.573117256164551,	0.8333947062492371,	g,	
1581370191,	14,	474,	2,	718,	3.656179189682007,	0.7077310085296631,	g,	
1581370191,	15,	318,	1,	757,	3.573117256164551,	0.8333947062492371,	g,	
1581370191,	16,	317,	1,	756,	3.4025168418884277,	0.8333947062492371,	g,	
1581370191,	17,	496,	2,	791,	3.5325660705566406,	0.959058403968811,	g,	
1581370191,	18,	506,	2,	821,	3.6070139408111572,	1.0847221612930298,	g,	
1581370191,	19,	711,	3,	791,	3.5325660705566406,	0.959058403968811,	g,	
1581370191,	20,	701,	3,	756,	3.4025168418884277,	0.8333947062492371,	g,	
1581370191,	21,	343,	1,	791,	3.5325660705566406,	0.959058403968811,	g,	
1581370191,	22,	718,	3,	820,	3.374303102493286,	1.0847221612930298,	g,	
1581370191,	23,	341,	1,	789,	3.148205280303955,	0.959058403968811,	g,	
1581370191,	24,	699,	3,	754,	3.073532819747925,	0.8333947062492371,	g,	
1581370191,	25,	494,	2,	789,	3.148205280303955,	0.959058403968811,	g,	
1581370191,	26,	315,	1,	754,	3.073532819747925,	0.8333947062492371,	g,	
1581370191,	27,	709,	3,	789,	3.148205280303955,	0.959058403968811,	g,	
1581370191,	28,	380,	1,	842,	2.842393398284912,	1.210385799407959,	g,	
1581370191,	29,	707,	3,	787,	2.7667958736419678,	0.959058403968811,	g,	
1581370191,	30,	360,	1,	817,	2.6761715412139893,	1.0847221612930298,	g,	
1581370191,	31,	379,	1,	841,	2.543194055557251,	1.211607575416565,	g,	
1581370191,	32,	359,	1,	816,	2.4434609413146973,	1.0847221612930298,	g,	
1581370191,	33,	715,	3,	817,	2.6761715412139893,	1.0847221612930298,	g,	
1581370191,	34,	339,	1,	787,	2.7667958736419678,	0.959058403968811,	g,	
1581370191,	35,	504,	2,	819,	3.1415927410125732,	1.0847221612930298,	g,	
1581370191,	36,	505,	2,	820,	3.374303102493286,	1.0847221612930298,	g,	
1581370191,	37,	495,	2,	790,	3.340385675430298,	0.959058403968811,	g,	
1581370191,	38,	363,	1,	820,	3.374303102493286,	1.0847221612930298,	g,	
